SJSJ,CLDBS,ZXYGZ,ZXYGF,ZXYGP,ZXYGG,ZXYGJ,ZXWGZ,FXYGZ,FXYGF,FXYGP,FXYGG,FXYGJ,FXWGZ
2020/1/1,15170309000,1787.7488,644.2261,988.4882,155.02792,0,75.37292,0,0,0,0,0,0
2020/1/2,15170309000,1791.2333,645.7612,990.2719,155.18959,0,77.02406,0,0,0,0,0,0.003958333
2020/1/3,15170309000,1794.479,647.0159,992.1374,155.31375,0,77.564896,0,0,0,0,0,0.005
2020/1/4,15170309000,1797.7109,648.2102,994.0652,155.43115,0,77.70729,0,0,0,0,0,0.005
2020/1/5,15170309000,1801.1907,649.4698,996.1727,155.54146,0,77.86083,0,0,0,0,0,0.005
2020/1/6,15170309000,1804.5094,650.64856,998.19354,155.65968,0,78.006874,0,0,0,0,0,0.005
2020/1/7,15170309000,1807.7639,651.8616,1000.1228,155.77249,0,78.14906,0,0,0,0,0,0.005
2020/1/8,15170309000,1811.0092,653.04114,1002.0753,155.88354,0,78.29135,0,0,0,0,0,0.005
2020/1/9,15170309000,1814.28,654.189,1004.08875,155.99355,0,78.44979,0,0,0,0,0,0.005
2020/1/10,15170309000,1817.5186,655.36334,1006.02356,156.12051,0,78.600525,0,0,0,0,0,0.005
2020/1/11,15170309000,1820.7809,656.57336,1007.96387,156.23906,0,78.736145,0,0,0,0,0,0.005
2020/1/12,15170309000,1824.136,657.81805,1009.9597,156.35156,0,78.877914,0,0,0,0,0,0.005
2020/1/13,15170309000,1827.3112,658.98663,1011.85156,156.46326,0,79.04674,0,0,0,0,0,0.005052631
2020/1/14,15170309000,1830.6277,660.2452,1013.80176,156.57312,0,79.18219,0,0,0,0,0,0.005
2020/1/15,15170309000,1833.7234,661.3732,1015.6577,156.6826,0,79.329475,0,0,0,0,0,0.005
2020/1/16,15170309000,1836.832,662.4738,1017.56024,156.7925,0,79.46479,0,0,0,0,0,0.005
2020/1/17,15170309000,1839.9526,663.59906,1019.4423,156.90219,0,79.60313,0,0,0,0,0,0.005
2020/1/18,15170309000,1843.1748,664.8345,1021.3175,157.01375,0,79.75719,0,0,0,0,0,0.005
2020/1/19,15170309000,1846.5073,666.15283,1023.2139,157.13167,0,79.925835,0,0,0,0,0,0.005
2020/1/20,15170309000,1849.5107,667.2432,1025.02,157.2425,0,80.0576,0,0,0,0,0,0.005
2020/1/21,15170309000,1852.7471,668.3781,1027.0017,157.36104,0,80.18916,0,0,0,0,0,0.005
2020/1/22,15170309000,1855.2161,669.35144,1028.3823,157.47322,0,80.31323,0,0,0,0,0,0.005
2020/1/23,15170309000,1856.4865,669.9179,1028.9762,157.58313,0,80.425835,0,0,0,0,0,0.005
2020/1/24,15170309000,1857.8182,670.54926,1029.5651,157.69374,0,80.531456,0,0,0,0,0,0.005
2020/1/25,15170309000,1859.1062,671.20593,1030.0775,157.81157,0,80.63812,0,0,0,0,0,0.005
2020/1/26,15170309000,1860.2117,671.7254,1030.5481,157.93073,0,80.73719,0,0,0,0,0,0.005
2020/1/27,15170309000,1861.3173,672.2438,1031.0214,158.0425,0,80.8325,0,0,0,0,0,0.005
2020/1/28,15170309000,1862.4419,672.7636,1031.5167,158.15282,0,80.936874,0,0,0,0,0,0.005
2020/1/29,15170309000,1863.57,673.2836,1032.0165,158.26271,0,81.04083,0,0,0,0,0,0.005
2020/1/30,15170309000,1864.6693,673.80115,1032.4923,158.36708,0,81.135315,0,0,0,0,0,0.005
2020/1/31,15170309000,1865.7522,674.31335,1032.9564,158.47333,0,81.22833,0,0,0,0,0,0.005
2020/2/1,15170309000,1866.8615,674.5827,1033.755,158.51666,0,79.42917,0,0,0,0,0,0
2020/2/2,15170309000,1867.9791,675.1213,1034.2268,158.61958,0,79.54083,0,0,0,0,0,0
2020/2/3,15170309000,1870.0609,675.9531,1035.3677,158.72833,0,79.67354,0,0,0,0,0,0
2020/2/4,15170309000,1873.0897,677.1676,1037.071,158.83844,0,79.814064,0,0,0,0,0,0
2020/2/5,15170309000,1875.1774,678.07874,1038.143,158.94864,0,79.93011,0,0,0,0,0,0
2020/2/6,15170309000,1876.4208,678.637,1038.7078,159.06604,0,80.02718,0,0,0,0,0,0
2020/2/7,15170309000,1877.6702,679.1997,1039.277,159.17792,0,80.11938,0,0,0,0,0,0
2020/2/8,15170309000,1878.9146,679.76624,1039.8412,159.2975,0,80.22437,0,0,0,0,0,0
2020/2/9,15170309000,1880.1259,680.2948,1040.4076,159.41605,0,80.32448,0,0,0,0,0,0
2020/2/10,15170309000,1882.1731,681.208,1041.3948,159.56209,0,81.4574,0,0,0,0,0,0.002708333
2020/2/11,15170309000,1885.2233,682.5286,1042.9818,159.70541,0,82.45344,0,0,0,0,0,0.005
2020/2/12,15170309000,1888.2136,683.73346,1044.6461,159.82957,0,82.59271,0,0,0,0,0,0.005
2020/2/13,15170309000,1891.1216,684.88885,1046.2833,159.94115,0,82.708435,0,0,0,0,0,0.005
2020/2/14,15170309000,1893.3253,685.8771,1047.3867,160.05031,0,82.78368,0,0,0,0,0,0.004842105
2020/2/15,15170309000,1895.4718,686.6982,1048.6025,160.16231,0,82.9101,0,0,0,0,0,0.004842105
2020/2/16,15170309000,1898.7834,687.9865,1050.5045,160.28264,0,83.14358,0,0,0,0,0,0.005052631
2020/2/17,15170309000,1901.939,689.25104,1052.2834,160.395,0,83.27635,0,0,0,0,0,0.005
2020/2/18,15170309000,1905.0962,690.4745,1054.1144,160.50365,0,83.409584,0,0,0,0,0,0.005
2020/2/19,15170309000,1908.3561,691.7229,1056.0177,160.60625,0,83.54885,0,0,0,0,0,0.005
2020/2/20,15170309000,1911.6444,692.9705,1057.973,160.69469,0,83.127396,0,0,0,0,0,0.003541667
2020/2/21,15170309000,1914.7979,694.02686,1059.9956,160.76697,0,81.885,0,0,0,0,0,0
2020/2/22,15170309000,1917.825,695.1276,1061.8008,160.88625,0,82.00646,0,0,0,0,0,0
2020/2/23,15170309000,1920.9379,696.25354,1063.6729,160.99771,0,82.1225,0,0,0,0,0,0
2020/2/24,15170309000,1924.1096,697.4157,1065.579,161.1076,0,82.24615,0,0,0,0,0,0
2020/2/25,15170309000,1927.1957,698.5264,1067.4445,161.2175,0,82.36052,0,0,0,0,0,0
2020/2/26,15170309000,1930.3048,699.6944,1069.2537,161.34479,0,82.9574,0,0,0,0,0,0.00125
2020/2/27,15170309000,1933.4993,701.0379,1070.9386,161.5149,0,84.54094,0,0,0,0,0,0.005
2020/2/28,15170309000,1936.9974,702.25977,1073.1056,161.62532,0,84.67812,0,0,0,0,0,0.005
2020/2/29,15170309000,1940.2046,703.4078,1075.0464,161.74168,0,84.82084,0,0,0,0,0,0.005052631
